threshold,token_precision,token_recall,token_f1,char_precision,char_recall,char_f1,gc_tot,pc_tot,ov_tot,ans_precision,ans_recall,ans_f1,TP,FP,FN,TN,gold_positive_rate,predicted_positive_rate,cat_A,cat_B,cat_C,cat_D,gate_model,gate_threshold,token_threshold
0.62,1.0,0.0004,0.0008,1.0,0.0002,0.0004,62074.0,12.0,12.0,1.0,0.0053,0.0106,6.0,0.0,15159.0,71542.0,0.1749,0.0001,2,375,0,879,RAW,,0.62
0.63,1.0,0.0002,0.0004,1.0,0.0,0.0001,62074.0,3.0,3.0,1.0,0.0053,0.0106,3.0,0.0,15162.0,71542.0,0.1749,0.0,2,375,0,879,RAW,,0.63
0.64,1.0,0.0001,0.0003,1.0,0.0,0.0001,62074.0,2.0,2.0,1.0,0.0053,0.0106,2.0,0.0,15163.0,71542.0,0.1749,0.0,2,375,0,879,RAW,,0.64
0.65,1.0,0.0001,0.0001,1.0,0.0,0.0,62074.0,1.0,1.0,1.0,0.0027,0.0053,1.0,0.0,15164.0,71542.0,0.1749,0.0,1,376,0,879,RAW,,0.65
0.66,1.0,0.0001,0.0001,1.0,0.0,0.0,62074.0,1.0,1.0,1.0,0.0027,0.0053,1.0,0.0,15164.0,71542.0,0.1749,0.0,1,376,0,879,RAW,,0.66
0.67,1.0,0.0001,0.0001,1.0,0.0,0.0,62074.0,1.0,1.0,1.0,0.0027,0.0053,1.0,0.0,15164.0,71542.0,0.1749,0.0,1,376,0,879,RAW,,0.67
0.68,1.0,0.0001,0.0001,1.0,0.0,0.0,62074.0,1.0,1.0,1.0,0.0027,0.0053,1.0,0.0,15164.0,71542.0,0.1749,0.0,1,376,0,879,RAW,,0.68
0.69,0.0,0.0,0.0,0.0,0.0,0.0,62074.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15165.0,71542.0,0.1749,0.0,0,377,0,879,RAW,,0.69
0.7,0.0,0.0,0.0,0.0,0.0,0.0,62074.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15165.0,71542.0,0.1749,0.0,0,377,0,879,RAW,,0.7
0.71,0.0,0.0,0.0,0.0,0.0,0.0,62074.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15165.0,71542.0,0.1749,0.0,0,377,0,879,RAW,,0.71
