threshold,token_precision,token_recall,token_f1,token_auroc,token_pr_auc,char_precision,char_recall,char_f1,ans_precision,ans_recall,ans_f1,TP,FP,FN,TN,gold_positive_rate,predicted_positive_rate,n_pred_spans,avg_pred_span_len
0.43,0.3708609271523179,0.11816683151994725,0.1792268840326049,0.6994703827400888,0.2996233296882518,0.36093621680810295,0.12744466282179334,0.1883750833412706,0.5990338164251208,0.32891246684350134,0.4246575342465753,1792,3040,13373,68502,0.1748993737529842,0.05572791124130693,1963,11.17
0.44,0.37072434607645877,0.09719749423013518,0.15401494174808003,0.6994703827400888,0.2996233296882518,0.3585041951436351,0.10394045816283791,0.16115697318629715,0.5957446808510638,0.29708222811671087,0.39646017699115044,1474,2502,13691,69040,0.1748993737529842,0.045855582594254214,1697,10.61
0.45,0.379375,0.0800527530497857,0.13220800435611216,0.6994703827400888,0.2996233296882518,0.3706390328151986,0.08642910075071689,0.1401716547570837,0.6073619631901841,0.2625994694960212,0.36666666666666664,1214,1986,13951,69556,0.1748993737529842,0.03690590148430922,1412,10.25
0.46,0.3841110682607019,0.06567754698318497,0.11217479445883545,0.6994703827400888,0.2996233296882518,0.3738038277511962,0.07048039436801237,0.11859904036433624,0.6376811594202898,0.23342175066312998,0.341747572815534,996,1597,14169,69945,0.1748993737529842,0.02990531329650432,1175,9.96
0.47,0.3924361493123772,0.05268710847345862,0.0929015754897971,0.6994703827400888,0.2996233296882518,0.38084488874556593,0.05707703708476979,0.09927567703882204,0.6666666666666666,0.21220159151193635,0.32193158953722334,799,1237,14366,70305,0.1748993737529842,0.023481379819391746,970,9.59
0.48,0.3979974968710889,0.041938674579624136,0.07588140547634671,0.6994703827400888,0.2996233296882518,0.3852973267866885,0.04551019750620228,0.08140506584445148,0.6732673267326733,0.18037135278514588,0.28451882845188287,636,962,14529,70580,0.1748993737529842,0.01842988455372692,802,9.14
0.49,0.40409836065573773,0.032509066930431915,0.06017699115044248,0.6994703827400888,0.2996233296882518,0.39172089660159076,0.034909946193253216,0.06410673608851286,0.7195121951219512,0.15649867374005305,0.2570806100217865,493,727,14672,70815,0.1748993737529842,0.014070374940892891,652,8.48
0.5,0.4296875,0.025387405209363667,0.04794222028516282,0.6994703827400888,0.2996233296882518,0.41197094916103183,0.02650062828237265,0.04979793240195559,0.7205882352941176,0.129973474801061,0.2202247191011236,385,511,14780,71031,0.1748993737529842,0.010333652415606583,501,7.97
0.51,0.45068285280728376,0.019584569732937686,0.037537917087967644,0.6994703827400888,0.2996233296882518,0.43114973262032086,0.02078164771079679,0.03965204561522147,0.7454545454545455,0.10875331564986737,0.18981481481481483,297,362,14868,71180,0.1748993737529842,0.007600309086924931,373,8.02
0.52,0.4658385093167702,0.01483679525222552,0.028757668711656442,0.6994703827400888,0.2996233296882518,0.4362385321100917,0.015320424010052519,0.02960126995984686,0.775,0.08222811671087533,0.1486810551558753,225,258,14940,71284,0.1748993737529842,0.005570484505287924,281,7.76
0.53,0.48,0.010286844708209694,0.02014202711426727,0.6994703827400888,0.2996233296882518,0.4233378561736771,0.010052517962431937,0.01963869830679172,0.7647058823529411,0.06896551724137931,0.12652068126520682,156,169,15009,71373,0.1748993737529842,0.003748255619500156,207,7.12
0.54,0.5283018867924528,0.007385426969996703,0.014567210769330818,0.6994703827400888,0.2996233296882518,0.451271186440678,0.006862776685891033,0.013519946681900409,0.8,0.05305039787798409,0.09950248756218906,112,100,15053,71442,0.1748993737529842,0.002445015973335486,142,6.65
0.55,0.5909090909090909,0.005143422354104847,0.010198078054520495,0.6994703827400888,0.2996233296882518,0.5192660550458715,0.004559074652833715,0.009038790143566651,0.8,0.042440318302387266,0.08060453400503778,78,54,15087,71488,0.1748993737529842,0.0015223684362277556,98,5.56
